epoch,iter,cls_loss,reg_loss,total_loss,lr,time_elapsed,img_per_sec
0,0,1.3199372291564941,1.0350233316421509,2.3549604415893555,1e-05,4.6645,6.86
0,1,1.3090683221817017,1.0609614849090576,2.370029926300049,1e-05,1.937,16.52
0,2,1.5915145874023438,1.0165258646011353,2.6080403327941895,1e-05,2.4477,13.07
0,3,1.2928779125213623,1.0670245885849,2.3599023818969727,1e-05,2.3714,13.49
0,4,1.2465040683746338,1.048188328742981,2.2946925163269043,1e-05,2.1421,14.94
0,5,1.2296464443206787,1.0371676683425903,2.2668142318725586,1e-05,2.4047,13.31
0,6,1.2127867937088013,1.0368025302886963,2.249589443206787,1e-05,1.9805,16.16
0,7,1.3388959169387817,0.9992119073867798,2.3381078243255615,1e-05,1.9286,16.59
0,8,1.3975262641906738,1.0230776071548462,2.4206037521362305,1e-05,2.1338,15.0
0,9,1.223463535308838,1.039129376411438,2.2625927925109863,1e-05,1.8675,17.14
0,10,1.2217068672180176,1.0263012647628784,2.2480082511901855,1e-05,1.8276,17.51
0,11,1.172694444656372,1.0394470691680908,2.212141513824463,1e-05,1.7425,18.36
0,12,1.2724864482879639,1.0010490417480469,2.2735354900360107,1e-05,1.8251,17.53
0,13,1.2511472702026367,1.0508663654327393,2.302013635635376,1e-05,1.9035,16.81
0,14,1.2532000541687012,1.0420470237731934,2.2952470779418945,1e-05,2.0283,15.78
0,15,1.2013310194015503,1.01423180103302,2.2155628204345703,1e-05,1.1484,17.42
